"","bondsettype","county","year","moneybond","moneybond_no","moneybond_yes","prbond","prbond_no","prbond_yes","totalnewfiling"
"195","Misdemeanor","Adams","2016","3,672","3,149","523","1,307","1,113","194","4,979"
"196","Misdemeanor","Alamosa","2014","188","154","34","110","88","22","298"
"197","Misdemeanor","Alamosa","2015","219","154","65","115","84","31","334"
"198","Misdemeanor","Alamosa","2016","166","135","31","178","141","37","344"
"199","Misdemeanor","Arapahoe","2014","2,589","2,184","405","2,091","1,820","271","4,680"
"200","Misdemeanor","Arapahoe","2015","2,329","1,976","353","2,317","2,049","268","4,646"
"201","Misdemeanor","Arapahoe","2016","2,099","1,876","223","1,583","1,421","162","3,682"
"202","Misdemeanor","Archuleta","2014","135","118","17","119","100","19","254"
"203","Misdemeanor","Archuleta","2015","114","95","19","93","71","22","207"
"204","Misdemeanor","Archuleta","2016","128","99","29","127","97","30","255"
"205","Misdemeanor","Baca","2014","55","51","4","10","10",NA,"65"
"206","Misdemeanor","Baca","2015","51","43","8","7","6","1","58"
"207","Misdemeanor","Baca","2016","54","46","8","8","8",NA,"62"
"208","Misdemeanor","Bent","2014","151","114","37","49","36","13","200"
"209","Misdemeanor","Bent","2015","74","60","14","46","40","6","120"
"210","Misdemeanor","Bent","2016","70","53","17","59","42","17","129"
"211","Misdemeanor","Boulder","2014","1,444","1,256","188","590","543","47","2,034"
"212","Misdemeanor","Boulder","2015","1,331","1,149","182","645","593","52","1,976"
"213","Misdemeanor","Boulder","2016","1,265","1,086","179","848","758","90","2,113"
"214","Misdemeanor","Broomfield","2014","905","833","72","86","77","9","991"
"215","Misdemeanor","Broomfield","2015","771","679","92","74","69","5","845"
"216","Misdemeanor","Broomfield","2016","518","453","65","264","233","31","782"
"217","Misdemeanor","Chaffee","2014","196","171","25","103","95","8","299"
"218","Misdemeanor","Chaffee","2015","175","152","23","158","136","22","333"
"219","Misdemeanor","Chaffee","2016","149","119","30","175","146","29","324"
"220","Misdemeanor","Cheyenne","2014","21","19","2","6","5","1","27"
"221","Misdemeanor","Cheyenne","2015","24","23","1","1","1",NA,"25"
"222","Misdemeanor","Cheyenne","2016","31","27","4","8","6","2","39"
"223","Misdemeanor","Clear Creek","2014","215","190","25","24","19","5","239"
"224","Misdemeanor","Clear Creek","2015","246","224","22","30","29","1","276"
"225","Misdemeanor","Clear Creek","2016","224","194","30","38","29","9","262"
"226","Misdemeanor","Conejos","2014","85","72","13","33","24","9","118"
"227","Misdemeanor","Conejos","2015","71","59","12","47","42","5","118"
"228","Misdemeanor","Conejos","2016","77","61","16","40","30","10","117"
"229","Misdemeanor","Costilla","2014","70","61","9","22","19","3","92"
"230","Misdemeanor","Costilla","2015","86","73","13","20","18","2","106"
"231","Misdemeanor","Costilla","2016","55","49","6","18","17","1","73"
"232","Misdemeanor","Crowley","2014","40","32","8","21","18","3","61"
"233","Misdemeanor","Crowley","2015","37","29","8","29","22","7","66"
"234","Misdemeanor","Crowley","2016","22","19","3","14","8","6","36"
"235","Misdemeanor","Custer","2014","38","32","6","14","14",NA,"52"
"236","Misdemeanor","Custer","2015","46","40","6","24","21","3","70"
"237","Misdemeanor","Custer","2016","36","29","7","30","26","4","66"
"238","Misdemeanor","Delta","2014","283","234","49","130","115","15","413"
"239","Misdemeanor","Delta","2015","297","256","41","146","124","22","443"
"240","Misdemeanor","Delta","2016","282","252","30","217","179","38","499"
"241","Misdemeanor","Dolores","2014","18","15","3","8","8",NA,"26"
"242","Misdemeanor","Dolores","2015","12","11","1","8","8",NA,"20"
"243","Misdemeanor","Dolores","2016","8","7","1","12","11","1","20"
"244","Misdemeanor","Douglas","2014","1,339","1,199","140","582","529","53","1,921"
"245","Misdemeanor","Douglas","2015","1,381","1,260","121","928","840","88","2,309"
"246","Misdemeanor","Douglas","2016","1,581","1,444","137","943","842","101","2,524"
"247","Misdemeanor","Eagle","2014","362","317","45","223","197","26","585"
"248","Misdemeanor","Eagle","2015","419","359","60","208","188","20","627"
"249","Misdemeanor","Eagle","2016","483","417","66","166","147","19","649"
"250","Misdemeanor","El Paso","2014","3,521","3,085","436","1,176","1,099","77","4,697"
"251","Misdemeanor","El Paso","2015","3,720","3,262","458","1,097","1,030","67","4,817"
