county,year,cash_surety_property_bond_frequency,personal_recognizance_bond_frequency,total_bond_frequency,bond_type
Teller,2015,504,121,625,misdemeanorbondtype
Teller,2016,461,119,580,misdemeanorbondtype
Washington,2014,67,29,96,misdemeanorbondtype
Washington,2015,80,37,117,misdemeanorbondtype
Washington,2016,97,25,122,misdemeanorbondtype
Weld,2014,3329,1343,4672,misdemeanorbondtype
Weld,2015,3200,2156,5356,misdemeanorbondtype
Weld,2016,2677,2747,5424,misdemeanorbondtype
Yuma,2014,90,22,112,misdemeanorbondtype
Yuma,2015,121,30,151,misdemeanorbondtype
Yuma,2016,107,39,146,misdemeanorbondtype
Adams,2014,3166,215,3381,felonybondtype
Adams,2015,3305,354,3659,felonybondtype
Adams,2016,3307,713,4020,felonybondtype
Alamosa,2014,212,84,296,felonybondtype
Alamosa,2015,260,86,346,felonybondtype
Alamosa,2016,341,215,556,felonybondtype
Arapahoe,2014,2631,364,2995,felonybondtype
Arapahoe,2015,2482,668,3150,felonybondtype
Arapahoe,2016,2709,503,3212,felonybondtype
Archuleta,2014,46,41,87,felonybondtype
Archuleta,2015,46,36,82,felonybondtype
Archuleta,2016,49,46,95,felonybondtype
Baca,2014,27,3,30,felonybondtype
Baca,2015,18,11,29,felonybondtype
Baca,2016,26,6,32,felonybondtype
Bent,2014,35,14,49,felonybondtype
Bent,2015,30,18,48,felonybondtype
Bent,2016,53,13,66,felonybondtype
Boulder,2014,1548,215,1763,felonybondtype
Boulder,2015,1630,294,1924,felonybondtype
Boulder,2016,1662,536,2198,felonybondtype
Broomfield,2014,285,11,296,felonybondtype
Broomfield,2015,275,17,292,felonybondtype
Broomfield,2016,265,68,333,felonybondtype
Chaffee,2014,103,23,126,felonybondtype
Chaffee,2015,122,36,158,felonybondtype
Chaffee,2016,129,54,183,felonybondtype
Cheyenne,2014,10,3,13,felonybondtype
Cheyenne,2015,7,1,8,felonybondtype
Cheyenne,2016,11,2,13,felonybondtype
Clear Creek,2014,79,4,83,felonybondtype
Clear Creek,2015,63,4,67,felonybondtype
Clear Creek,2016,80,6,86,felonybondtype
Conejos,2014,36,14,50,felonybondtype
Conejos,2015,51,17,68,felonybondtype
Conejos,2016,75,27,102,felonybondtype
Costilla,2014,34,10,44,felonybondtype
Costilla,2015,41,5,46,felonybondtype
Costilla,2016,33,17,50,felonybondtype
Crowley,2014,26,2,28,felonybondtype
Crowley,2015,25,20,45,felonybondtype
Crowley,2016,55,9,64,felonybondtype
Custer,2014,17,4,21,felonybondtype
Custer,2015,19,5,24,felonybondtype
Custer,2016,39,11,50,felonybondtype
Delta,2014,117,11,128,felonybondtype
Delta,2015,112,13,125,felonybondtype
Delta,2016,114,15,129,felonybondtype
Denver,2014,3817,1271,5088,felonybondtype
Denver,2015,4036,1319,5355,felonybondtype
Denver,2016,4037,2572,6609,felonybondtype
Dolores,2014,3,5,8,felonybondtype
Dolores,2015,9,2,11,felonybondtype
Dolores,2016,16,1,17,felonybondtype
Douglas,2014,582,112,694,felonybondtype
Douglas,2015,573,197,770,felonybondtype
Douglas,2016,750,279,1029,felonybondtype
Eagle,2014,225,34,259,felonybondtype
Eagle,2015,332,24,356,felonybondtype
Eagle,2016,283,17,300,felonybondtype
El Paso,2014,5041,318,5359,felonybondtype
El Paso,2015,5260,362,5622,felonybondtype
El Paso,2016,5781,325,6106,felonybondtype
Elbert,2014,53,11,64,felonybondtype
Elbert,2015,63,19,82,felonybondtype
Elbert,2016,86,35,121,felonybondtype
Fremont,2014,259,64,323,felonybondtype
Fremont,2015,282,93,375,felonybondtype
Fremont,2016,379,230,609,felonybondtype
Garfield,2014,283,88,371,felonybondtype
Garfield,2015,401,84,485,felonybondtype
Garfield,2016,386,138,524,felonybondtype
Gilpin,2014,78,16,94,felonybondtype
Gilpin,2015,149,25,174,felonybondtype
Gilpin,2016,124,27,151,felonybondtype
Grand,2014,63,7,70,felonybondtype
Grand,2015,41,8,49,felonybondtype
Grand,2016,48,14,62,felonybondtype
Gunnison,2014,85,7,92,felonybondtype
Gunnison,2015,72,15,87,felonybondtype
Gunnison,2016,102,13,115,felonybondtype
Hinsdale,2014,2,1,3,felonybondtype
Hinsdale,2015,3,NA,3,felonybondtype
Hinsdale,2016,2,2,4,felonybondtype
Huerfano,2014,78,36,114,felonybondtype
Huerfano,2015,69,20,89,felonybondtype
Huerfano,2016,96,41,137,felonybondtype
Jackson,2014,4,2,6,felonybondtype
Jackson,2015,1,4,5,felonybondtype
Jackson,2016,8,2,10,felonybondtype
Jefferson,2014,2619,437,3056,felonybondtype
Jefferson,2015,3032,440,3472,felonybondtype
Jefferson,2016,3404,539,3943,felonybondtype
Kiowa,2014,8,2,10,felonybondtype
Kiowa,2015,9,1,10,felonybondtype
Kiowa,2016,4,NA,4,felonybondtype
Kit Carson,2014,49,6,55,felonybondtype
Kit Carson,2015,54,14,68,felonybondtype
Kit Carson,2016,61,27,88,felonybondtype
La Plata,2014,249,224,473,felonybondtype
La Plata,2015,281,210,491,felonybondtype
La Plata,2016,324,178,502,felonybondtype
Lake,2014,77,8,85,felonybondtype
Lake,2015,40,6,46,felonybondtype
Lake,2016,68,14,82,felonybondtype
Larimer,2014,1309,472,1781,felonybondtype
Larimer,2015,1647,508,2155,felonybondtype
Larimer,2016,2130,645,2775,felonybondtype
Las Animas,2014,105,62,167,felonybondtype
Las Animas,2015,137,62,199,felonybondtype
Las Animas,2016,112,43,155,felonybondtype
Lincoln,2014,63,3,66,felonybondtype
Lincoln,2015,80,NA,80,felonybondtype
Lincoln,2016,84,3,87,felonybondtype
Logan,2014,153,73,226,felonybondtype
Logan,2015,169,65,234,felonybondtype
Logan,2016,194,82,276,felonybondtype
Mesa,2014,785,721,1506,felonybondtype
Mesa,2015,755,817,1572,felonybondtype
Mesa,2016,957,1034,1991,felonybondtype
Mineral,2014,2,NA,2,felonybondtype
Mineral,2015,1,3,4,felonybondtype
Mineral,2016,1,NA,1,felonybondtype
Moffat,2014,134,27,161,felonybondtype
Moffat,2015,164,67,231,felonybondtype
Moffat,2016,160,93,253,felonybondtype
Montezuma,2014,136,67,203,felonybondtype
Montezuma,2015,184,60,244,felonybondtype
Montezuma,2016,217,61,278,felonybondtype
Montrose,2014,282,21,303,felonybondtype
Montrose,2015,276,21,297,felonybondtype
Montrose,2016,267,34,301,felonybondtype
Morgan,2014,182,53,235,felonybondtype
Morgan,2015,169,81,250,felonybondtype
Morgan,2016,207,90,297,felonybondtype
Otero,2014,139,65,204,felonybondtype
Otero,2015,171,53,224,felonybondtype
Otero,2016,153,65,218,felonybondtype
Ouray,2014,14,2,16,felonybondtype
Ouray,2015,15,2,17,felonybondtype
Ouray,2016,22,2,24,felonybondtype
Park,2014,53,13,66,felonybondtype
Park,2015,61,17,78,felonybondtype
Park,2016,56,11,67,felonybondtype
Phillips,2014,12,NA,12,felonybondtype
Phillips,2015,18,2,20,felonybondtype
Phillips,2016,15,7,22,felonybondtype
Pitkin,2014,38,4,42,felonybondtype
Pitkin,2015,62,13,75,felonybondtype
Pitkin,2016,53,22,75,felonybondtype
Prowers,2014,108,47,155,felonybondtype
Prowers,2015,157,48,205,felonybondtype
Prowers,2016,179,52,231,felonybondtype
Pueblo,2014,1364,481,1845,felonybondtype
Pueblo,2015,1388,787,2175,felonybondtype
Pueblo,2016,1607,657,2264,felonybondtype
Rio Blanco,2014,47,5,52,felonybondtype
Rio Blanco,2015,33,10,43,felonybondtype
Rio Blanco,2016,55,13,68,felonybondtype
Rio Grande,2014,100,61,161,felonybondtype
Rio Grande,2015,73,63,136,felonybondtype
Rio Grande,2016,115,50,165,felonybondtype
Routt,2014,72,29,101,felonybondtype
Routt,2015,95,65,160,felonybondtype
Routt,2016,58,42,100,felonybondtype
Saguache,2014,18,23,41,felonybondtype
Saguache,2015,19,19,38,felonybondtype
Saguache,2016,48,14,62,felonybondtype
San Juan,2014,3,1,4,felonybondtype
San Juan,2015,NA,NA,NA,felonybondtype
San Juan,2016,8,5,13,felonybondtype
San Miguel,2014,28,7,35,felonybondtype
San Miguel,2015,48,6,54,felonybondtype
San Miguel,2016,46,12,58,felonybondtype
Sedgwick,2014,8,2,10,felonybondtype
Sedgwick,2015,13,7,20,felonybondtype
Sedgwick,2016,21,9,30,felonybondtype
Summit,2014,209,13,222,felonybondtype
Summit,2015,230,19,249,felonybondtype
Summit,2016,264,19,283,felonybondtype
Teller,2014,169,14,183,felonybondtype
Teller,2015,167,21,188,felonybondtype
Teller,2016,205,27,232,felonybondtype
Washington,2014,11,4,15,felonybondtype
Washington,2015,8,6,14,felonybondtype
Washington,2016,21,12,33,felonybondtype
Weld,2014,1648,468,2116,felonybondtype
Weld,2015,1591,596,2187,felonybondtype
Weld,2016,1887,647,2534,felonybondtype
Yuma,2014,32,3,35,felonybondtype
Yuma,2015,43,10,53,felonybondtype
Yuma,2016,47,14,61,felonybondtype
