fips,year,county,cash_surety_property_bond_frequency,personal_recognizance_bond_frequency,total_bond_frequency,bond_type,jud_district,medianHI,medianHI_MOE,povertyR,yfips,state,county_name,total_pop,total_pop_15to64,female_pop_15to64,male_pop_15to64,asian_pop_15to64,black_pop_15to64,latino_pop_15to64,native_pop_15to64,other_pop_15to64,white_pop_15to64,urbanicity,region,division,commuting_zone,metro_area,land_area,total_jail_adm,total_jail_adm_dcrp,female_jail_adm_dcrp,male_jail_adm_dcrp,total_jail_pop,female_jail_pop,male_jail_pop,asian_jail_pop,black_jail_pop,latino_jail_pop,native_jail_pop,white_jail_pop,total_jail_pretrial,female_jail_pretrial,male_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp,female_jail_pop_dcrp,male_jail_pop_dcrp,total_prison_pop,female_prison_pop,male_prison_pop,asian_prison_pop,black_prison_pop,latino_prison_pop,native_prison_pop,other_prison_pop,white_prison_pop,total_prison_adm,female_prison_adm,male_prison_adm,asian_prison_adm,black_prison_adm,latino_prison_adm,native_prison_adm,other_prison_adm,white_prison_adm,num_facilites,num_employees,confined_pop,capacity,ucr_population,index_crime,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,agr_assault_crime,burglary_crime,larceny_crime,mv_theft_crime,arson_crime
8007,2015,"Archuleta",156.0,97,253.0,"misdemeanorbondtype",6,50361,4972,13.1,201508007,"CO","Archuleta County",12222,7546,3789,3757,74,56,1437,120,NA,5859,"rural","West","Mountain",423,NA,1350.096,368.0,NA,NA,NA,23.0,4.0,23.0,0.0,0.0,3.0,1,23.0,22.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,33,NA,NA,False,0,NA,NA,2,23,20,NA,NA,False,0,NA,NA,2,14,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8007,2015,"Archuleta",46.0,36,82.0,"felonybondtype",6,50361,4972,13.1,201508007,"CO","Archuleta County",12222,7546,3789,3757,74,56,1437,120,NA,5859,"rural","West","Mountain",423,NA,1350.096,368.0,NA,NA,NA,23.0,4.0,23.0,0.0,0.0,3.0,1,23.0,22.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,33,NA,NA,False,0,NA,NA,2,23,20,NA,NA,False,0,NA,NA,2,14,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8007,2016,"Archuleta",194.0,126,320.0,"misdemeanorbondtype",6,51998,5440,12.0,201608007,"CO","Archuleta County",12382,7518,3756,3762,76,72,1465,128,NA,5777,"rural","West","Mountain",423,NA,1350.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8007,2016,"Archuleta",49.0,46,95.0,"felonybondtype",6,51998,5440,12.0,201608007,"CO","Archuleta County",12382,7518,3756,3762,76,72,1465,128,NA,5777,"rural","West","Mountain",423,NA,1350.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8009,2014,"Baca",103.0,10,113.0,"misdemeanorbondtype",15,36294,3793,20.0,201408009,"CO","Baca County",3655,2129,1031,1098,10,22,221,30,NA,1846,"rural","West","Mountain",693,NA,2554.993,156.4286,NA,NA,NA,7.0,0.0,4.0,0.0,0.0,0.0,0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3677,33,5,28,0,1,0,4,12,12,4,0
8009,2014,"Baca",27.0,3,30.0,"felonybondtype",15,36294,3793,20.0,201408009,"CO","Baca County",3655,2129,1031,1098,10,22,221,30,NA,1846,"rural","West","Mountain",693,NA,2554.993,156.4286,NA,NA,NA,7.0,0.0,4.0,0.0,0.0,0.0,0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3677,33,5,28,0,1,0,4,12,12,4,0
8009,2015,"Baca",106.0,7,113.0,"misdemeanorbondtype",15,35405,3623,20.8,201508009,"CO","Baca County",3586,2074,1004,1070,7,26,231,30,NA,1780,"rural","West","Mountain",693,NA,2554.993,156.4286,NA,NA,NA,7.0,0.0,4.0,0.0,0.0,0.0,0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,4,False,0,False,False,0,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8009,2015,"Baca",18.0,11,29.0,"felonybondtype",15,35405,3623,20.8,201508009,"CO","Baca County",3586,2074,1004,1070,7,26,231,30,NA,1780,"rural","West","Mountain",693,NA,2554.993,156.4286,NA,NA,NA,7.0,0.0,4.0,0.0,0.0,0.0,0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,4,False,0,False,False,0,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8009,2016,"Baca",105.0,7,112.0,"misdemeanorbondtype",15,34070,3263,20.2,201608009,"CO","Baca County",3552,2048,1004,1044,7,32,229,29,NA,1751,"rural","West","Mountain",693,NA,2554.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8009,2016,"Baca",26.0,6,32.0,"felonybondtype",15,34070,3263,20.2,201608009,"CO","Baca County",3552,2048,1004,1044,7,32,229,29,NA,1751,"rural","West","Mountain",693,NA,2554.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8011,2014,"Bent",184.0,53,237.0,"misdemeanorbondtype",16,35424,3674,32.3,201408011,"CO","Bent County",5733,4051,1213,2838,67,370,1296,62,NA,2256,"rural","West","Mountain",500,NA,1512.865,537.0,NA,NA,NA,31.0,5.0,25.0,0.0,1.0,19.0,0,10.0,22.0,1.0,16.0,6.0,0.0,9.0,0.0,0.0,0.0,NA,NA,NA,25,NA,NA,False,NA,NA,False,2,8,13,NA,NA,False,0,NA,False,0,4,1,183,725,745,5534,81,8,73,0,1,1,6,28,39,6,0
8011,2014,"Bent",35.0,14,49.0,"felonybondtype",16,35424,3674,32.3,201408011,"CO","Bent County",5733,4051,1213,2838,67,370,1296,62,NA,2256,"rural","West","Mountain",500,NA,1512.865,537.0,NA,NA,NA,31.0,5.0,25.0,0.0,1.0,19.0,0,10.0,22.0,1.0,16.0,6.0,0.0,9.0,0.0,0.0,0.0,NA,NA,NA,25,NA,NA,False,NA,NA,False,2,8,13,NA,NA,False,0,NA,False,0,4,1,183,725,745,5534,81,8,73,0,1,1,6,28,39,6,0
