"","county","year","money_bond_freq","pr_bond_freq","total_bond_freq","off_type","money_posted","money_bond_new_no","money_new_yes","pr_posted","pr_new_no","pr_new_yes","total_new"
"100","Lake",2014,152,63,215,"Misdemeanor",107,91,16,64,51,13,171
"101","Lake",2015,242,68,310,"Misdemeanor",182,148,34,67,56,11,249
"102","Lake",2016,212,50,262,"Misdemeanor",150,122,28,47,43,4,197
"103","Larimer",2014,2059,3712,5771,"Misdemeanor",1350,1091,259,2986,2705,281,4336
"104","Larimer",2015,2278,3780,6058,"Misdemeanor",1459,1181,278,2908,2581,327,4367
"105","Larimer",2016,2306,3737,6043,"Misdemeanor",1395,1133,262,2827,2542,285,4222
"106","Las Animas",2014,706,123,829,"Misdemeanor",465,385,80,132,86,46,597
"107","Las Animas",2015,698,86,784,"Misdemeanor",399,337,62,94,70,24,493
"108","Las Animas",2016,781,65,846,"Misdemeanor",400,335,65,65,47,18,465
"109","Lincoln",2014,238,8,246,"Misdemeanor",100,89,11,6,6,NA,106
"110","Lincoln",2015,354,5,359,"Misdemeanor",99,86,13,8,6,2,107
"111","Lincoln",2016,389,8,397,"Misdemeanor",106,97,9,11,10,1,117
"112","Logan",2014,326,160,486,"Misdemeanor",204,169,35,155,124,31,359
"113","Logan",2015,243,211,454,"Misdemeanor",168,134,34,203,163,40,371
"114","Logan",2016,249,186,435,"Misdemeanor",166,135,31,172,141,31,338
"115","Mesa",2014,1508,1312,2820,"Misdemeanor",604,466,138,1309,1088,221,1913
"116","Mesa",2015,1686,1317,3003,"Misdemeanor",591,483,108,1314,1053,261,1905
"117","Mesa",2016,1589,1402,2991,"Misdemeanor",451,376,75,1399,1119,280,1850
"118","Mineral",2014,40,NA,40,"Misdemeanor",14,13,1,NA,NA,NA,14
"119","Mineral",2015,43,2,45,"Misdemeanor",14,14,NA,1,1,NA,15
"120","Mineral",2016,36,2,38,"Misdemeanor",7,7,NA,2,2,NA,9
"121","Moffat",2014,246,95,341,"Misdemeanor",177,137,40,92,69,23,269
"122","Moffat",2015,257,115,372,"Misdemeanor",176,142,34,116,89,27,292
"123","Moffat",2016,246,157,403,"Misdemeanor",150,123,27,147,121,26,297
"124","Montezuma",2014,402,466,868,"Misdemeanor",276,250,26,368,308,60,644
"125","Montezuma",2015,413,403,816,"Misdemeanor",269,226,43,298,255,43,567
"126","Montezuma",2016,421,434,855,"Misdemeanor",252,229,23,275,250,25,527
"127","Montrose",2014,700,155,855,"Misdemeanor",522,393,129,180,153,27,702
"128","Montrose",2015,648,130,778,"Misdemeanor",421,328,93,173,137,36,594
"129","Montrose",2016,607,181,788,"Misdemeanor",393,309,84,238,189,49,631
"130","Morgan",2014,755,201,956,"Misdemeanor",336,288,48,176,151,25,512
"131","Morgan",2015,775,238,1013,"Misdemeanor",352,303,49,230,187,43,582
"132","Morgan",2016,693,247,940,"Misdemeanor",319,279,40,231,194,37,550
"133","Otero",2014,479,157,636,"Misdemeanor",369,290,79,161,132,29,530
"134","Otero",2015,376,228,604,"Misdemeanor",312,253,59,191,159,32,503
"135","Otero",2016,210,305,515,"Misdemeanor",180,135,45,241,208,33,421
"136","Ouray",2014,88,19,107,"Misdemeanor",68,60,8,13,10,3,81
"137","Ouray",2015,79,14,93,"Misdemeanor",46,41,5,13,12,1,59
"138","Ouray",2016,99,13,112,"Misdemeanor",60,51,9,13,11,2,73
"139","Park",2014,313,66,379,"Misdemeanor",232,211,21,73,67,6,305
"140","Park",2015,292,84,376,"Misdemeanor",172,158,14,96,88,8,268
"141","Park",2016,251,105,356,"Misdemeanor",154,139,15,103,92,11,257
"142","Phillips",2014,39,5,44,"Misdemeanor",27,21,6,5,4,1,32
"143","Phillips",2015,41,22,63,"Misdemeanor",27,19,8,21,14,7,48
"144","Phillips",2016,54,21,75,"Misdemeanor",36,30,6,16,15,1,52
"145","Pitkin",2014,164,61,225,"Misdemeanor",117,97,20,62,50,12,179
"146","Pitkin",2015,121,53,174,"Misdemeanor",74,65,9,53,43,10,127
"147","Pitkin",2016,169,41,210,"Misdemeanor",94,80,14,39,32,7,133
"148","Prowers",2014,629,68,697,"Misdemeanor",334,270,64,73,47,26,407
"149","Prowers",2015,662,59,721,"Misdemeanor",325,264,61,62,50,12,387
"150","Prowers",2016,625,34,659,"Misdemeanor",273,223,50,34,29,5,307
"151","Pueblo",2014,2513,835,3348,"Misdemeanor",1496,1340,156,826,729,97,2322
"152","Pueblo",2015,2077,1332,3409,"Misdemeanor",1183,1021,162,1307,1145,162,2490
"153","Pueblo",2016,1906,1576,3482,"Misdemeanor",827,719,108,1506,1319,187,2333
"154","Rio Blanco",2014,193,12,205,"Misdemeanor",150,140,10,10,10,NA,160
"155","Rio Blanco",2015,194,14,208,"Misdemeanor",138,111,27,15,15,NA,153
"156","Rio Blanco",2016,129,24,153,"Misdemeanor",84,71,13,20,17,3,104
"157","Rio Grande",2014,231,97,328,"Misdemeanor",97,67,30,104,79,25,201
"158","Rio Grande",2015,229,94,323,"Misdemeanor",104,82,22,87,70,17,191
"159","Rio Grande",2016,202,87,289,"Misdemeanor",103,77,26,84,69,15,187
"160","Routt",2014,385,166,551,"Misdemeanor",296,270,26,161,143,18,457
"161","Routt",2015,365,172,537,"Misdemeanor",249,235,14,171,151,20,420
"162","Routt",2016,309,176,485,"Misdemeanor",200,183,17,169,146,23,369
"163","Saguache",2014,84,38,122,"Misdemeanor",35,25,10,38,34,4,73
"164","Saguache",2015,69,31,100,"Misdemeanor",29,26,3,30,26,4,59
"165","Saguache",2016,88,30,118,"Misdemeanor",35,27,8,26,23,3,61
"166","San Juan",2014,11,2,13,"Misdemeanor",3,2,1,1,1,NA,4
"167","San Juan",2015,19,1,20,"Misdemeanor",6,3,3,1,1,NA,7
"168","San Juan",2016,19,4,23,"Misdemeanor",8,5,3,2,2,NA,10
