fips,year,county,,money_bond_freq,pr_bond_freq,total_bond_freq,off_type,money_posted,money_bond_new_no,money_new_yes,pr_posted,pr_new_no,pr_new_yes,total_new,jud_district,medianHI,medianHI_MOE,povertyR
8029,2016,"Delta",237,114,15,129,"Felony",59,41,18,42,36,6,101,7,41798,3884,17.8
8033,2014,"Dolores",49,29,10,39,"Misdemeanor",18,15,3,8,8,NA,26,22,44235,4721,15.4
8033,2014,"Dolores",241,3,5,8,"Felony",3,2,1,5,4,1,8,22,44235,4721,15.4
8033,2015,"Dolores",50,26,15,41,"Misdemeanor",12,11,1,8,8,NA,20,22,44829,4652,14.9
8033,2015,"Dolores",242,9,2,11,"Felony",5,4,1,2,2,NA,7,22,44829,4652,14.9
8033,2016,"Dolores",51,15,24,39,"Misdemeanor",8,7,1,12,11,1,20,22,46791,4965,13.2
8033,2016,"Dolores",243,16,1,17,"Felony",12,11,1,1,1,NA,13,22,46791,4965,13.2
8035,2014,"Douglas",52,2230,625,2855,"Misdemeanor",1339,1199,140,582,529,53,1921,18,107250,5897,3.7
8035,2014,"Douglas",244,582,112,694,"Felony",343,295,48,110,98,12,453,18,107250,5897,3.7
8035,2015,"Douglas",53,2315,975,3290,"Misdemeanor",1381,1260,121,928,840,88,2309,18,109926,5076,3.4
8035,2015,"Douglas",245,573,197,770,"Felony",357,302,55,198,175,23,555,18,109926,5076,3.4
8035,2016,"Douglas",54,2810,979,3789,"Misdemeanor",1581,1444,137,943,842,101,2524,18,112399,5799,3.4
8035,2016,"Douglas",246,750,279,1029,"Felony",476,419,57,276,244,32,752,18,112399,5799,3.4
8037,2014,"Eagle",55,759,228,987,"Misdemeanor",362,317,45,223,197,26,585,5,76661,5616,7.8
8037,2014,"Eagle",247,225,34,259,"Felony",180,164,16,34,32,2,214,5,76661,5616,7.8
8037,2015,"Eagle",56,861,166,1027,"Misdemeanor",419,359,60,208,188,20,627,5,75191,6178,7.6
8037,2015,"Eagle",248,332,24,356,"Felony",257,238,19,26,26,NA,283,5,75191,6178,7.6
8037,2016,"Eagle",57,891,158,1049,"Misdemeanor",483,417,66,166,147,19,649,5,79556,5893,7.9
8037,2016,"Eagle",249,283,17,300,"Felony",201,189,12,18,17,1,219,5,79556,5893,7.9
8041,2014,"El Paso",58,7742,993,8735,"Misdemeanor",3521,3085,436,1176,1099,77,4697,4,59286,2118,12.2
8041,2014,"El Paso",250,5041,318,5359,"Felony",2834,2222,612,366,326,40,3200,4,59286,2118,12.2
