"Population Estimates by Region and County, 2000 - 2017, Vintage 2017, State Demography Office",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,
     Jefferson ,"526,716","528,067","527,539","525,429","524,876","523,517","524,579","527,120","530,565","532,606","535,651","540,332","546,260","551,876","558,554","564,441","570,932","575,193",
   BOULDER PMSA/Co,"276,254","283,510","284,433","282,763","283,288","282,910","286,133","288,757","291,827","293,641","295,605","300,110","305,034","309,628","312,588","318,071","321,363","322,854",
,,,,,,,,,,,,,,,,,,,
  NORTH FRONT RANGE,"436,161","453,393","465,146","475,303","487,338","499,305","512,310","525,033","536,510","546,461","554,762","563,709","574,477","585,870","599,447","617,454","632,998","648,288",
   FORT COLLINS MSA,"253,087","260,911","266,171","268,146","273,269","275,873","281,027","286,754","292,394","297,502","300,532","305,135","310,636","315,983","323,792","332,980","338,704","343,853",
   GREELEY MSA,"183,074","192,482","198,975","207,157","214,069","223,432","231,283","238,279","244,116","248,959","254,230","258,574","263,841","269,887","275,655","284,474","294,294","304,435",
,,,,,,,,,,,,,,,,,,,
   COLO. SPRINGS MSA,"540,870","558,074","567,229","573,886","580,673","591,827","605,293","611,936","622,162","631,723","650,673","661,609","670,347","679,609","686,849","698,344","713,094","725,908",
     El Paso ,"519,803","536,336","545,240","551,668","558,455","569,322","582,502","588,772","599,060","608,518","627,232","638,272","646,934","656,285","663,443","674,993","689,082","701,283",
     Teller,"21,067","21,738","21,989","22,218","22,218","22,505","22,791","23,164","23,102","23,205","23,441","23,337","23,413","23,324","23,406","23,351","24,012","24,625",
,,,,,,,,,,,,,,,,,,,
   PUEBLO MSA,"141,854","143,996","146,481","147,972","148,720","149,969","152,064","154,759","156,252","157,324","159,496","159,809","160,361","160,669","161,042","162,664","164,447","165,974",
,,,,,,,,,,,,,,,,,,,
 WESTERN SLOPE,"467,896","478,067","484,392","490,575","496,651","502,992","514,152","525,766","535,882","545,586","552,463","551,623","553,016","555,714","557,973","562,648","570,816","575,982",
,,,,,,,,,,,,,,,,,,,
   REGION 9,"80,893","82,414","83,377","84,283","85,212","86,251","87,885","89,118","90,119","90,762","91,802","92,051","92,735","93,822","94,267","95,448","96,918","97,763",
     Archuleta ,"10,042","10,465","10,700","10,964","11,171","11,402","11,798","12,108","12,074","11,899","12,060","12,027","12,139","12,221","12,240","12,401","12,839","13,316",
     Dolores ,"1,847","1,865","1,880","1,879","1,873","1,888","1,990","2,001","2,074","2,052","2,060","2,036","2,002","2,026","1,968","1,973","2,050","2,040",
     La Plata ,"44,578","45,645","46,089","46,447","46,926","47,713","48,408","49,146","50,073","50,759","51,441","51,875","52,471","53,384","53,883","54,711","55,378","55,619",
     Montezuma ,"23,852","23,873","24,109","24,378","24,607","24,603","25,017","25,177","25,200","25,365","25,532","25,422","25,429","25,499","25,464","25,674","25,961","26,074",
     San Juan ,574,566,599,615,635,645,672,686,698,687,709,691,694,692,712,689,690,714,
,,,,,,,,,,,,,,,,,,,
   REGION 10,"86,659","88,687","89,771","90,606","91,695","92,824","94,346","96,360","97,966","99,037","100,031","99,420","99,344","99,406","99,359","99,739","101,461","102,753",
     Delta ,"27,910","28,387","28,778","29,061","29,453","29,412","29,702","29,877","30,342","30,625","30,889","30,391","30,492","30,347","29,968","29,929","30,377","30,578",
     Gunnison ,"13,988","14,345","14,316","14,206","14,230","14,473","14,650","14,957","15,137","15,266","15,309","15,400","15,386","15,601","15,792","16,120","16,433","16,871",
     Hinsdale ,792,804,806,784,831,813,830,845,824,827,843,824,801,804,771,764,786,791,
     Montrose ,"33,579","34,442","34,926","35,640","36,131","36,997","37,968","39,131","39,952","40,680","41,188","40,921","40,611","40,516","40,564","40,552","41,142","41,763",
     Ouray ,"3,776","3,809","3,903","3,905","4,023","4,084","4,137","4,274","4,407","4,372","4,446","4,413","4,493","4,540","4,560","4,587","4,766","4,783",
     San Miguel ,"6,614","6,900","7,042","7,010","7,027","7,045","7,059","7,276","7,304","7,267","7,356","7,471","7,561","7,598","7,704","7,787","7,957","7,967",
,,,,,,,,,,,,,,,,,,,
   REGION 11,"201,159","205,176","208,477","211,673","215,042","218,491","225,203","231,844","237,443","243,381","247,167","247,269","247,777","248,136","248,476","250,091","253,466","255,702",
     Garfield ,"44,239","45,907","46,728","47,484","48,156","49,256","51,106","52,676","54,226","55,400","56,150","56,003","56,749","56,940","57,182","57,755","58,938","59,167",
