fips,year,county,jud_district,medianHI,medianHI_MOE,povertyR,yfips,state,county_name,total_pop,total_pop_15to64,female_pop_15to64,male_pop_15to64,asian_pop_15to64,black_pop_15to64,latino_pop_15to64,native_pop_15to64,other_pop_15to64,white_pop_15to64,urbanicity,region,division,commuting_zone,metro_area,land_area,total_jail_adm,total_jail_adm_dcrp,female_jail_adm_dcrp,male_jail_adm_dcrp,total_jail_pop,female_jail_pop,male_jail_pop,asian_jail_pop,black_jail_pop,latino_jail_pop,native_jail_pop,white_jail_pop,total_jail_pretrial,female_jail_pretrial,male_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp,female_jail_pop_dcrp,male_jail_pop_dcrp,total_prison_pop,female_prison_pop,male_prison_pop,asian_prison_pop,black_prison_pop,latino_prison_pop,native_prison_pop,other_prison_pop,white_prison_pop,total_prison_adm,female_prison_adm,male_prison_adm,asian_prison_adm,black_prison_adm,latino_prison_adm,native_prison_adm,other_prison_adm,white_prison_adm,num_facilites,num_employees,confined_pop,capacity,ucr_population,index_crime,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,agr_assault_crime,burglary_crime,larceny_crime,mv_theft_crime,arson_crime
8015,2014,Chaffee,11,48840,3938,12.4,201408015,CO,Chaffee County,18347,11819,5306,6513,94,271,1326,149,NA,9979,rural,West,Mountain,697,NA,1013.408,1558,NA,NA,NA,73,13,59,0,1,11,1,59,33,0,14,6,1,66,0,0,0,NA,NA,NA,42,NA,NA,FALSE,0,NA,FALSE,0,35,33,6,27,FALSE,0,NA,FALSE,0,28,3,301,1235,1218,18797,291,15,276,1,4,0,10,50,204,17,5
8015,2015,Chaffee,11,50947,4847,11.7,201508015,CO,Chaffee County,18439,11808,5260,6548,104,304,1331,155,NA,9914,rural,West,Mountain,697,NA,1013.408,1558,NA,NA,NA,73,13,59,0,1,11,1,59,33,0,14,6,1,66,0,0,0,NA,NA,NA,39,NA,NA,FALSE,0,NA,FALSE,0,34,27,4,23,FALSE,0,NA,FALSE,3,24,3,301,1235,1218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8015,2016,Chaffee,11,49877,3122,11.4,201608015,CO,Chaffee County,18582,11835,5274,6561,118,314,1337,151,NA,9915,rural,West,Mountain,697,NA,1013.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,301,1235,1218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8017,2014,Cheyenne,15,52273,4908,13.4,201408017,CO,Cheyenne County,1869,1147,552,595,8,10,159,10,NA,960,rural,West,Mountain,626,NA,1778.276,730,NA,NA,NA,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,FALSE,0,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1915,2,2,0,0,0,0,2,0,0,0,0
8017,2015,Cheyenne,15,50620,5325,11.7,201508017,CO,Cheyenne County,1834,1123,528,595,7,13,161,11,NA,931,rural,West,Mountain,626,NA,1778.276,730,NA,NA,NA,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,FALSE,0,FALSE,FALSE,0,0,0,0,0,FALSE,0,FALSE,FALSE,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8017,2016,Cheyenne,15,50558,5340,14,201608017,CO,Cheyenne County,1811,1096,518,578,7,11,162,13,NA,903,rural,West,Mountain,626,NA,1778.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8019,2014,Clear Creek,5,69115,6705,8.5,201408019,CO,Clear Creek County,9008,6380,3063,3317,47,58,333,59,NA,5883,suburban,West,Mountain,5,19740,395.199,764,NA,NA,NA,47,9,31,0,6,7,1,26,34,10,57,1,0,12,2,15,0,NA,NA,NA,34,NA,NA,FALSE,NA,NA,NA,2,28,15,NA,NA,FALSE,NA,NA,FALSE,2,13,0,0,0,0,8789,201,50,151,1,7,0,42,34,101,16,0
8019,2015,Clear Creek,5,67262,6917,9.6,201508019,CO,Clear Creek County,9110,6362,3043,3319,51,67,379,60,NA,5805,suburban,West,Mountain,5,19740,395.199,764,NA,NA,NA,47,9,31,0,6,7,1,26,34,10,57,1,0,12,2,15,0,NA,NA,NA,29,NA,NA,FALSE,0,NA,NA,1,24,15,NA,NA,FALSE,0,NA,FALSE,3,12,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8019,2016,Clear Creek,5,68699,6989,8.1,201608019,CO,Clear Creek County,9233,6382,3056,3326,55,76,398,66,NA,5787,suburban,West,Mountain,5,19740,395.199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8021,2014,Conejos,12,33998,3257,22.9,201408021,CO,Conejos County,8192,4983,2450,2533,21,23,2804,53,NA,2082,rural,West,Mountain,264,NA,1287.428,586.5,NA,NA,NA,31.5,8.5,20,0,0,21,1,2,19.5,5,34,3,0,5.5,0,2,0,NA,NA,NA,20,0,20,FALSE,0,NA,NA,5,NA,14,NA,NA,FALSE,0,NA,FALSE,3,NA,0,0,0,0,8324,14,1,13,0,1,0,0,5,8,0,0
